anchor_id	kind	start	end	checksum	context_pre	context_post	prev_id	next_id	parent_heading	attributes_json
p000001	p	0	12	9d37bd08e635e73bdc57417c637a83e55b0532958e8dbca8d1a126543acb69b6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	d70bd8f876118d53a46fcc532d1431ec4e0a9dd6151abe78fb34b0a91686ce9f		s000001		{}
s000001	s	0	12	9d37bd08e635e73bdc57417c637a83e55b0532958e8dbca8d1a126543acb69b6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	d70bd8f876118d53a46fcc532d1431ec4e0a9dd6151abe78fb34b0a91686ce9f	p000001	p000002		{}
p000002	p	13	30	1f8573ab0fb2280af42f3ac8024eb936c06f26ee39b55bac9e1db62861a03574	f8b0a49f5f4a3998be72f5ee88ccb64a8deb1f5b5e55b4ad999d6b24b1000aa8	5146cbc7869ef7b0dc1900ff7b96a45123afca4c91a20a46ea673a46ec71485a	s000001	s000002		{}
s000002	s	13	30	1f8573ab0fb2280af42f3ac8024eb936c06f26ee39b55bac9e1db62861a03574	f8b0a49f5f4a3998be72f5ee88ccb64a8deb1f5b5e55b4ad999d6b24b1000aa8	5146cbc7869ef7b0dc1900ff7b96a45123afca4c91a20a46ea673a46ec71485a	p000002	p000003		{}
p000003	h	31	47	e734aa0d9dccffae6bf58ad4af5e0b73e52cd24871a23c6403daba440129d644	f7f8e615acb4967a82488356da5ea5fc4661981fb0b2bb0ffa2899c80bdd40d8	55f1b7ddb004f5935297a5fef617ce9abce7b43e1b6e8e9d52414f6dd01d7c68	s000002	s000003		{}
s000003	s	31	47	e734aa0d9dccffae6bf58ad4af5e0b73e52cd24871a23c6403daba440129d644	f7f8e615acb4967a82488356da5ea5fc4661981fb0b2bb0ffa2899c80bdd40d8	55f1b7ddb004f5935297a5fef617ce9abce7b43e1b6e8e9d52414f6dd01d7c68	p000003	p000004	p000003	{}
p000004	p	48	75	0bc08d955386e8c171e5dd646736681805d4e1ec38e351c047c393a6e0765df8	5b9b732f819088343487a2e2397cb448cb77f623afb0274b8bff19c5598f6cdb	e64444c9265e65f2fe7cc7ff4f7ea56f7de7b02df36e12de7f084a8150d887a7	s000003	s000004	p000003	{}
s000004	s	48	75	0bc08d955386e8c171e5dd646736681805d4e1ec38e351c047c393a6e0765df8	5b9b732f819088343487a2e2397cb448cb77f623afb0274b8bff19c5598f6cdb	e64444c9265e65f2fe7cc7ff4f7ea56f7de7b02df36e12de7f084a8150d887a7	p000004	p000005	p000003	{}
p000005	p	76	81	766c1d13a3e06c4dfcfc90cd072d2b5b1256f81ec3ee8eda3a87d13039869995	61bbe51e6db8a44b29cd10fdcf7346ce41d4cf94d67acdae83e6fe5d2e5846fa	cd83ba4a667805b3d9b71701bedecc1a9cf744ed54d53154ba15753c68f361b7	s000004	s000005	p000003	{}
s000005	s	76	81	766c1d13a3e06c4dfcfc90cd072d2b5b1256f81ec3ee8eda3a87d13039869995	61bbe51e6db8a44b29cd10fdcf7346ce41d4cf94d67acdae83e6fe5d2e5846fa	cd83ba4a667805b3d9b71701bedecc1a9cf744ed54d53154ba15753c68f361b7	p000005	p000006	p000003	{}
p000006	h	82	116	9c72efd06c9fcbd9c8b4d16b2332cdbc6f5066cb9963bfede9f03b670cab64f9	f9863899b37b1ed626e20f2449bf9643b8714a732e3c547ddb78f94cf569d76f	7d21e89e1f97e311aae8d6e3472c9c8dfdb2a16567475fda3648187871302f7e	s000005	s000006		{}
s000006	s	82	116	9c72efd06c9fcbd9c8b4d16b2332cdbc6f5066cb9963bfede9f03b670cab64f9	f9863899b37b1ed626e20f2449bf9643b8714a732e3c547ddb78f94cf569d76f	7d21e89e1f97e311aae8d6e3472c9c8dfdb2a16567475fda3648187871302f7e	p000006	p000007	p000006	{}
p000007	p	117	133	0df4bc3dd850458ea67273dc74155f77442e22a9fa9cb14e466a6c9992c246c8	3440e389b8d830f6cbf5f68020a8df35ee7f0fa08b0b66c52131cfd738804808	f514693f61eda1b6c8fd36482b57f86785b12704441dea2f65ce2184855bd3d4	s000006	s000007	p000006	{}
s000007	s	117	133	0df4bc3dd850458ea67273dc74155f77442e22a9fa9cb14e466a6c9992c246c8	3440e389b8d830f6cbf5f68020a8df35ee7f0fa08b0b66c52131cfd738804808	f514693f61eda1b6c8fd36482b57f86785b12704441dea2f65ce2184855bd3d4	p000007	p000008	p000006	{}
p000008	h	134	148	1c8afcd4162e6f736f3a23ab5a4dac6dcaf5ad29fdd3c857faa4771543d7518d	f5222feae65f2a2a60651d2364b335a863d89a22954d046ee9ce8acbb8172a3c	6a761531832336dfc25e5aa0ae877ad0f1fb6f28a6f4af4fee4a70bbc264587b	s000007	s000008		{}
s000008	s	134	148	1c8afcd4162e6f736f3a23ab5a4dac6dcaf5ad29fdd3c857faa4771543d7518d	f5222feae65f2a2a60651d2364b335a863d89a22954d046ee9ce8acbb8172a3c	6a761531832336dfc25e5aa0ae877ad0f1fb6f28a6f4af4fee4a70bbc264587b	p000008	p000009	p000008	{}
p000009	p	149	162	196ab523760f703794e192ffcbe8445000817adde2c91c3c7578d671e79d9296	8afe20e0535b73a59f402d84f6e907bb63bc8919105c70b08b5c8ab1eacc9f04	970b78f5e486e90aefab4aa0198fda461a56831f8d63b3686c3bbc8a032c845f	s000008	s000009	p000008	{}
s000009	s	149	162	196ab523760f703794e192ffcbe8445000817adde2c91c3c7578d671e79d9296	8afe20e0535b73a59f402d84f6e907bb63bc8919105c70b08b5c8ab1eacc9f04	970b78f5e486e90aefab4aa0198fda461a56831f8d63b3686c3bbc8a032c845f	p000009	p000010	p000008	{}
p000010	h	163	189	77358a18432091558b90e2ba8ea1c587856b3af0129fb1617e49f4cf2c52d372	290906b31ea320649965f4ab59d86b59431b7ba5e0e2f687412a70777d2a2838	e215874bf9c44e76684838040ad5f61597e06fcd2448406cf65b4bbc026f1d91	s000009	s000010		{}
s000010	s	163	189	77358a18432091558b90e2ba8ea1c587856b3af0129fb1617e49f4cf2c52d372	290906b31ea320649965f4ab59d86b59431b7ba5e0e2f687412a70777d2a2838	e215874bf9c44e76684838040ad5f61597e06fcd2448406cf65b4bbc026f1d91	p000010	p000011	p000010	{}
p000011	p	190	213	404658b85911fe71329cea1dd7411784be89f4c9439779149e8231c7d705a9b5	892c8dd6d4482f87d8707a4120209bac38919d4481e05b2046b04a8499bdd67d	957c8316ec7e81f447e45427c5af53c2bb2bd4f75b67792b401a9190c9399044	s000010	s000011	p000010	{}
s000011	s	190	213	404658b85911fe71329cea1dd7411784be89f4c9439779149e8231c7d705a9b5	892c8dd6d4482f87d8707a4120209bac38919d4481e05b2046b04a8499bdd67d	957c8316ec7e81f447e45427c5af53c2bb2bd4f75b67792b401a9190c9399044	p000011	p000012	p000010	{}
p000012	p	214	217	6201111b83a0cb5b0922cb37cc442b9a40e24e3b1ce100a4bb204f4c63fd2ac0	dd6b300c0e1f835454476d1c8e5adb4f3e6008f6b13a5b707c73c49d15befe90	99add544f897de40b8bb19fa0ed927a5d4e11791b9404a4a637817a309226c77	s000011	s000012	p000010	{}
